filename,meat,veggie,noodle,norm_meat,norm_veggie,norm_noodle
2019_11_18-fried_noodles-set_16-3.jpg,2,25,54,0.042553191,0.247524752,0.201492537
2019_12_03-fried_noodles-set_8-7.jpg,16,7,22,0.340425532,0.069306931,0.082089552
2019_11_08-fried_noodles-set_28-3.jpg,9,22,0,0.191489362,0.217821782,0
2019_11_08-fried_noodles-set_32-2.jpg,0,14,0,0,0.138613861,0
2019_11_08-fried_noodles-set_38-4.jpg,6,7,17,0.127659574,0.069306931,0.063432836
2019_11_18-fried_noodles-set_9-9.jpg,6,23,26,0.127659574,0.227722772,0.097014925
IMG_20191003_160134.jpg,15,10,62,0.319148936,0.099009901,0.231343284
2020_01_23-fried_noodles-set_8-7.jpg,3,2,11,0.063829787,0.01980198,0.041044776
IMG_20191003_163949.jpg,0,26,36,0,0.257425743,0.134328358
2019_11_08-fried_noodles-set_12-3.jpg,6,13,146,0.127659574,0.128712871,0.544776119
2020_01_23-fried_noodles-set_10-1.jpg,3,10,11,0.063829787,0.099009901,0.041044776
2019_11_08-fried_noodles-set_32-10.jpg,0,14,0,0,0.138613861,0
IMG_20191003_160833.jpg,29,24,120,0.617021277,0.237623762,0.447761194
2020_03_03-fried_noodles-107.jpg,0,35,20,0,0.346534653,0.074626866
2020_03_03-fried_noodles-3.jpg,0,4,0,0,0.03960396,0
2019_11_18-fried_noodles-set_14-6.jpg,7,37,54,0.14893617,0.366336634,0.201492537
2020_03_19-fried_noodles-155.jpg,0,8,0,0,0.079207921,0
2019_11_08-fried_noodles-set_20-1.jpg,3,9,59,0.063829787,0.089108911,0.220149254
2020_09_18-216-top.jpg,4,0,69,0.085106383,0,0.257462687
2020_03_19-fried_noodles-72.jpg,0,0,151,0,0,0.563432836
2019_11_08-fried_noodles-set_18-4.jpg,9,15,59,0.191489362,0.148514851,0.220149254
2019_11_08-fried_noodles-set_26-2.jpg,3,22,36,0.063829787,0.217821782,0.134328358
IMG_20191003_165126.jpg,33,20,0,0.70212766,0.198019802,0
2020_03_03-fried_noodles-193.jpg,0,55,93,0,0.544554455,0.347014925
2020_01_23-fried_noodles-set_2-4.jpg,11,0,0,0.234042553,0,0
IMG_20191003_161337.jpg,41,30,158,0.872340426,0.297029703,0.589552239
2019_11_18-fried_noodles-set_5-10.jpg,0,17,26,0,0.168316832,0.097014925
2019_11_08-fried_noodles-set_27-2.jpg,3,22,0,0.063829787,0.217821782,0
2020_01_23-fried_noodles-set_11-8.jpg,6,10,11,0.127659574,0.099009901,0.041044776
2019_11_18-fried_noodles-set_18-8.jpg,9,11,54,0.191489362,0.108910891,0.201492537
2019_12_03-fried_noodles-set_12-4.jpg,18,7,55,0.382978723,0.069306931,0.205223881
2020_01_08-fried_noodles-set_3-9.jpg,0,13,0,0,0.128712871,0
IMG_20191003_162800.jpg,20,37,145,0.425531915,0.366336634,0.541044776
IMG_20191003_161221.jpg,33,30,158,0.70212766,0.297029703,0.589552239
IMG_20191003_162545.jpg,30,37,165,0.638297872,0.366336634,0.615671642
2019_11_18-fried_noodles-set_3-4.jpg,5,12,26,0.106382979,0.118811881,0.097014925
2020_03_19-fried_noodles-118.jpg,7,0,0,0.14893617,0,0
2019_11_08-fried_noodles-set_3-10.jpg,0,0,89,0,0,0.332089552
2020_03_19-fried_noodles-85.jpg,0,0,198,0,0,0.73880597
2020_03_03-fried_noodles-50.jpg,0,41,0,0,0.405940594,0
2020_03_03-fried_noodles-195.jpg,0,55,93,0,0.544554455,0.347014925
2019_11_18-fried_noodles-set_5-7.jpg,0,17,26,0,0.168316832,0.097014925
2019_11_08-fried_noodles-set_41-1.jpg,0,7,52,0,0.069306931,0.194029851
2019_11_18-fried_noodles-set_12-3.jpg,3,37,26,0.063829787,0.366336634,0.097014925
2019_11_18-fried_noodles-set_11-6.jpg,0,37,26,0,0.366336634,0.097014925
2019_11_18-fried_noodles-set_23-2.jpg,2,29,149,0.042553191,0.287128713,0.555970149
2020_01_08-fried_noodles-set_2-7.jpg,0,6,0,0,0.059405941,0
2019_12_03-fried_noodles-set_29-6.jpg,6,4,206,0.127659574,0.03960396,0.768656716
2020_03_03-fried_noodles-150.jpg,0,49,34,0,0.485148515,0.126865672
2019_11_08-fried_noodles-set_33-7.jpg,5,14,0,0.106382979,0.138613861,0
2019_12_03-fried_noodles-set_2-1.jpg,13,0,0,0.276595745,0,0
2019_11_08-fried_noodles-set_42-1.jpg,3,7,52,0.063829787,0.069306931,0.194029851
2019_12_03-fried_noodles-set_19-1.jpg,11,4,88,0.234042553,0.03960396,0.328358209
2019_11_18-fried_noodles-set_20-3.jpg,2,0,54,0.042553191,0,0.201492537
2019_12_03-fried_noodles-set_9-6.jpg,16,7,35,0.340425532,0.069306931,0.130597015
